Sl_No,CIN,Company_Name,Triggered_By,NCLT_Bench,Defunct,Date_Insolvency_Commencement,Date_Liquidation_Order,Total_Admitted_Claims,Admitted_Claims_FC,Admitted_Claims_OC,No_Resolution_Plans,Highest_Resolution_Value,Liquidation_Flag
1,L32105MH1985PLC035516,Bhupen Electronic Limited,FC,Mumbai,Yes,2017-01-19,2017-07-31,219.06,219.06,0,0.0,-,1
2,U22120MH1996PTC099629,Wind-Way's Packaging Private Limited,OC,Mumbai,Yes,2017-04-07,2017-08-04,16.36,14.74,1.62,0.0,-,1
3,L14200WB1994PLC104573,Rei Agro Limited,OC,Kolkata,Yes,2017-02-27,2017-08-24,8625.859999999999,8624.97,0.89,0.0,-,1
4,U45200TG2005PLC047812,VNR Infrastructures Limited,CD,Hyderabad,Yes,2017-02-10,2017-08-24,1250.35,1102.35,148,1.0,426,1
5,U34102CH1990PLC010459,Hind Motors Limited,CD,Chandigarh,Yes,2017-02-14,2017-08-28,7.01,6.39,0.62,1.0,6.07,1
6,U50101CH2000PLC023964,Hind Motors India Limited,CD,Chandigarh,Yes,2017-03-09,2017-09-12,41.35,40.61,0.74,1.0,26.44,1
7,U50100PB2011PTC035267,Hind Motors (Mohali) Private Limited,CD,Chandigarh,Yes,2017-02-20,2017-09-12,3.51,3.51,0,1.0,1.53,1
8,U63090TG2009PTC065104,VNR Infra Metals Private Limited,CD,Hyderabad,Yes,2017-03-03,2017-09-22,101.15,101.15,0,1.0,18,1
9,U15143TG1998PLC029987,Blossoms Oils and Fats Limited,CD,Hyderabad,Yes,2017-03-22,2017-10-10,413.22,411.35,1.87,1.0,10,1
10,U74900DL1998PTC094758,Helpline Hospitality Private Limited,OC,New Delhi,Yes,2017-04-24,2017-10-11,0.0,0.0,0,0.0,-,1
11,L55101WB1983PLC036362,NICCO Corporation Ltd,CD,Kolkata,Yes,2017-01-18,2017-10-17,414.36,367.07,47.29,1.0,377.28,1
12,L28999WB1937PLC009099,Stewarts and Lloyds of India Limited,CD,Kolkata,Yes,2017-05-01,2017-10-26,64.26,0.0,64.26,0.0,-,1
13,U26942WB1991PTC141633,Keshav Sponge & Energy Private Limited,CD,Kolkata,Yes,2017-02-16,2017-11-14,107.64,106.35,1.29,2.0,57,1
14,U18101KA2004PTC033728,DCS International Private Limited,CD,Bengaluru,Yes,2017-07-10,2017-11-17,9.98,3.2,6.78,0.0,-,1
15,L51900TN1988PLC016275,Abhayam Trading Limited,FC,Chennai,Yes,2017-05-31,2017-11-17,0.72,0.61,0.11,0.0,-,1
16,U63090MH2004PTC148693,Swift Shipping and Freight Logistics Private Limited,CD,Mumbai,Yes,2017-04-19,2017-11-20,0.0,0.0,0,0.0,-,1
