Sl_No,CIN,Company_Name,Triggered_By,NCLT_Bench,Defunct,Date_Insolvency_Commencement,Date_Resolution_Order,Total_Admitted_Claims,Admitted_Claims_FC,Admitted_Claims_OC,Liquidation_Value,Realisable_FC,Realisable_OC,Liquidation_Flag
1,U60231AP1995PLC020693,Synergies-Dooray Automotive Limited,CD,Hyderabad,Yes,2017-01-23,2017-08-02,972.15,972.15,0.0,8.17,54.7,3.91,0
2,U74999MH1998PTC113055,Chhaparia Industries Private Limited,CD,Mumbai,No,2017-02-24,2017-09-29,49.7523758,49.7523758,0.0,17.15,20.6,1.53,0
3,U27201JH2005PTC011197,Prowess International Private Limited,OC,Kolkata,No,2017-04-20,2017-10-17,3.5379906,2.88,0.6579906,,2.88,0.647325,0
4,U26939WB1995PLC075633,Sree Metaliks Ltd.,FC,Kolkata,Yes,2017-01-30,2017-11-07,1289.7298394,1287.2198678,2.5099716,340.62,607.3101,10.9476548,0
5,U51909WB1974SGC029308,West Bengal Essential Commodities Supply Corpn Ltd,FC,Kolkata,No,2017-05-29,2017-11-20,344.9301561,344.9301561,0.0,,185.84,0,0
6,U51900MH1993PLC075613,Shirdi Industries Limited,CD,Mumbai,Yes,2017-05-18,2017-12-12,695.74,673.88,21.86,103.05,176.36,6.36,0
7,U55101RJ1986PTC003755,Hotel Gaudavan Private Limited,FC,New Delhi,No,2017-03-31,2017-12-13,70.6765,70.44,0.2365,36.12,44.2,0.7955897,0
8,U74899KA1987PLC058614,Nandan Hotels Limited,OC,Bengaluru,No,2017-08-17,2017-12-14,1.101939,0.0,1.101939,,0,1.1,0
9,U51909UP1997FTC047891,JEKPL Private Limited,CD,Allahabad,No,2017-03-17,2017-12-15,606.57,606.57,0.0,222.06,162,0,0
10,U34300PN1985PLC037909,Trinity Auto Components Limited,CD,Mumbai,Yes,2017-05-25,2018-01-22,17.3839656,17.3839656,0.0,20.8164,17.38,6.2533646,0
11,L26942WB1937PLC009086,Kalyanpur Cements Limited,OC,Kolkata,No,2017-05-01,2018-01-31,631.9499999999999,131.04999999999998,500.9,119.7417,98.6,249.4,0
12,U45201WB2007PTC162847,Palogix Infrastructure Private Limited,FC,Kolkata,No,2017-05-16,2018-02-12,158.3921452,154.3921452,4.0,48.8563,56.8382,18.8328,0
13,U25202DL2011PTC224673,Shree Radharaman Packaging Private Limited,OC,New Delhi,No,2017-04-28,2018-02-15,1.8039198,0.8946034,0.9093164,2.88,0.9572,0.5449039,0
14,U45200MH2005PTC155800,Kohinoor CTNL Infrastructure Company Private Limited,FC,Mumbai,No,2017-06-16,2018-02-21,2578.6433179,2528.3950175,50.2483004,329.9,2246,9,0
15,U51909WB1976GOI030797,Burn Standard Co Ltd,CD,Kolkata,Yes,2017-05-31,2018-03-06,298.03,58.77,239.26,593,65.47,239.26,0
16,U27102WB2003PTC096337,Divya Jyoti Sponge Iron Private Limited,FC,Kolkata,No,2017-08-23,2018-03-13,80.36,77.2,3.16,16.83,34.25,1.97,0
17,U30007TN1995PTC029790,Propel Valves Private Limited,OC,Chennai,No,2017-08-11,2018-03-19,1.9132113,1.7122683,0.200943,0.38,1.71,0.200943,0
18,U51100GJ1987PTC009649,Kalptaru Alloys Private Limited,FC,Ahmedabad,Yes,2017-09-05,2018-03-20,51.23,51.2,0.03,27.48,31.6,1.9,0
19,U27109TG2002PTC038411,Basai Steels and Power Private Limited,OC,Hyderabad,Yes,2017-07-19,2018-04-13,896.0500000000001,853.69,42.36,52.09,125.81,13.93,0
20,L27310JH2006PLC012663,Electrosteel Steels Limited,FC,Kolkata,No,2017-07-21,2018-04-17,13958.3606113868,13175.1420548128,783.218556574,2899.98,5320,0,0
21,L27109WB1995PLC073700,MBL Infrastructures Limited,FC,Kolkata,No,2017-03-30,2018-04-18,1506.8651153,1428.2089065,78.6562088,269.9,1597.13,217.43,0
22,L15142MH2001PLC133714,Raj Oil Mills Limited,CD,Mumbai,Yes,2017-07-10,2018-04-19,612.5899999999999,243.19,369.4,22.83,55.87,6.39,0
23,U74899DL1995PLC066170,Ved Cellulose Limited,FC,New Delhi,No,2017-06-30,2018-05-14,29.2126454,24.5089882,4.7036572,13.2565511,14.47,0,0
24,L74899DL1983PLC014942,Bhushan Steel Limited,FC,New Delhi,No,2017-07-26,2018-05-15,57505.05,56022.06,1482.99,14541,35571,1200.32,0
25,U25209MH2007PTC173910,Wig Associates Private Limited,CD,Mumbai,No,2017-08-24,2018-06-04,17.82,10.67,7.15,0.87,3.55,0.1026,0
26,U55101KA1999PLC025622,B.J.N. Hotels Limited,FC,Bengaluru,No,2017-09-25,2018-06-04,135.8,134.18,1.62,24.15,29.92,0.08,0
27,U01403PN2014PTC150370,Nutri First Agro International Private Limited,OC,Mumbai,No,2017-07-31,2018-06-08,15.18,13.83,1.35,10.21,13.83,1.19,0
28,U01111HR2009PTC038886,MOR Farms Private Limited,FC,Chandigarh,No,2017-09-04,2018-06-15,32.52,32.52,0.0,3.91,9.25,0,0
29,U35111KL2004PTC017108,Master Shipyard Private Limited,OC,Chennai,No,2017-12-21,2018-06-15,0.434,0.004,0.43,3.78,0.004,0.43,0
30,U13201OR1953PLC017027,Orissa Manganese & Minerals Ltd,FC,Kolkata,No,2017-08-03,2018-06-22,5414.49,5388.54,25.95,301.02,310,7.79,0
31,L25201WB1984PLC038030,Datre Corporation Limited,FC,Kolkata,Yes,2017-09-20,2018-06-22,84.86,84.86,0.0,9.07,9.22,0.58,0
32,L36934MH1977PLC019972,Ellora Paper Mills Limited,FC,Mumbai,No,2017-07-19,2018-06-26,44.35,7.6,36.75,3.88,5.4,1.83,0
33,U29219HP1994PLC014893,A Power Himalayas Limited,FC,Chandigarh,No,2017-11-03,2018-07-05,112.39,55.6,56.79,6.31,23.13,24.17,0
34,U45203MP2007PTC019487,Keti Highway Developers Private Limited,FC,Ahmedabad,No,2017-08-17,2018-07-10,78.71,76.57,2.14,10.28,18.5,0.28,0
35,U24116PN2007PTC130818,Yashraaj Ethanoll Processing Private Limited,FC,Mumbai,No,2017-07-20,2018-07-13,99.21,82.57,16.64,12.4,14.67,2.92,0
36,L21010TG1938PLC000591,The Sirpur Paper Mills Limited,OC,Hyderabad,Yes,2017-09-18,2018-07-19,636.93,533.38,103.55,202.76,340,9.5,0
37,U35204WB1981PLC033700,Stesalit Limited,OC,Kolkata,No,2017-11-20,2018-07-20,76.72999999999999,49.73,27.0,15.06,19.28,2.59,0
38,L02710CT1990PLC009826,Monnet Ispat and Energy Limited,FC,Mumbai,No,2017-07-18,2018-07-24,11478.08,11014.91,463.17,2365,2892.12,25,0
39,U24232TG2010PTC071534,Admiron Life Sciences Private Limited,CD,Hyderabad,No,2017-07-28,2018-07-24,78.72999999999999,72.46,6.27,42.5,50.7,0,0
40,U27109TZ1983PTC001276,Paragon Steels Private Limited,FC,Chennai,No,2017-09-15,2018-07-24,183.22,181.75,1.47,37.71,41.5,0.1,0
41,U02710TZ1996PTC006921,S M M Steel Re-Rolling Mills Private Limited,FC,Chennai,No,2017-09-15,2018-07-24,41.5,41.46,0.04,1.8,1.6,0.01,0
42,U55100PB2005PTC029009,Concord Hospitality Private Limited,FC,Chandigarh,No,2017-08-04,2018-07-25,83.21000000000001,47.86,35.35,107.72,47.86,35.35,0
43,U24246MH1993PTC074959,Mohan Aromatics Private Limited,FC,Mumbai,No,2017-10-18,2018-07-25,10.65,10.65,0.0,3.75,4.72,0,0
44,U24110MH1982PLC027307,SM Dyechem Ltd,CD,Mumbai,Yes,2017-10-13,2018-07-30,2.12,0.0,2.12,,0,2.12,0
45,L17100DL1991PLC171468,Amit Spinning Industries Limited,CD,New Delhi,Yes,2017-08-01,2018-07-31,142.63,85.95,56.68,25.96,22.04,6.16,0
46,U63023WB1982PTC034674,Southern Cooling Towers Pvt Ltd,OC,Kolkata,No,2018-02-07,2018-08-06,17.09,15.82,1.27,23.83,15.82,0.81,0
47,U15400GJ2012PTC069873,Shakti Nutraceuticals Private Limited,FC,Ahmedabad,Yes,2017-08-28,2018-08-09,1.116,1.11,0.006,0,1.18,0.006,0
48,U73100MH2006PLC158704,Quantum Limited,FC,Mumbai,Yes,2017-05-29,2018-08-10,32.18,32.18,0.0,19.2,32.18,0,0
49,U55101WB1996PTC081666,Jalan Inter Continental Hotels Private Limited,FC,Kolkata,No,2017-08-29,2018-08-24,170.66,167.1,3.56,103,108.82,1.64,0
50,U27106HR1987PLC030006,Arcee Ispat Udyog Limited,FC,Chandigarh,Yes,2017-08-30,2018-08-30,64.03,64.03,0.0,6.99,15.1,0,0
51,U85110TZ2003PLC010465,Vangal Amman Health Services Limited,FC,Chennai,Yes,2017-11-22,2018-08-30,47.75,46.68,1.07,55.05,46.65,0.78,0
52,U27310TN2007PTC064480,NSR Steels Private Limited,FC,Chennai,Yes,2017-11-24,2018-08-30,92.81,88.95,3.86,,13.58,0.46,0
